region,sector,n_industries,total_firms,sector_score,raw_sector_score,adjusted_sector_score,regression_sector_score,quality_overlay_delta,valuation_regime,sector_action,score_q25,score_q75,proxy_ticker,proxy_name,proxy_precision,region_action,portfolio_action,execution_note
us,Financials,7,889.0,1.4331623433635203,0.06454596918832445,1.9684747634616744,0.6301937132162894,1.9039287942733503,cheap,overweight,-0.42418108630941487,0.4359869523994435,XLF,Financial Select Sector SPDR,direct,underweight,relative_overweight,Direct sector ETF proxy available.
us,Consumer Staples,7,267.0,0.6681878392848896,0.37809271174394793,1.036555686649755,0.11563606823759139,0.6584629749058073,cheap,overweight,-0.42418108630941487,0.4359869523994435,XLP,Consumer Staples Select Sector SPDR,direct,underweight,relative_overweight,Direct sector ETF proxy available.
us,Materials,7,261.0,0.5215201684551275,0.2677021548936346,0.47344307013382986,0.5936358159370736,0.20574091524019522,cheap,overweight,-0.42418108630941487,0.4359869523994435,XLB,Materials Select Sector SPDR,direct,underweight,relative_overweight,Direct sector ETF proxy available.
us,Energy,5,293.0,0.3504537363437596,0.5097779838254963,0.23207679651380808,0.528019146088687,-0.2777011873116883,neutral,market_weight,-0.42418108630941487,0.4359869523994435,XLE,Energy Select Sector SPDR,direct,underweight,underweight,Direct sector ETF proxy available.
us,Utilities,3,74.0,0.31965025288918486,0.2729285248630909,0.6860038932623626,-0.22988020767058168,0.4130753683992716,neutral,market_weight,-0.42418108630941487,0.4359869523994435,XLU,Utilities Select Sector SPDR,direct,underweight,underweight,Direct sector ETF proxy available.
us,Communication Services,10,396.0,0.031299804286629006,-0.20758760054350087,0.23997959529408594,-0.2817198822245566,0.44756719583758703,neutral,market_weight,-0.42418108630941487,0.4359869523994435,VOX,Vanguard Communication Services ETF,direct,underweight,underweight,Direct sector ETF proxy available.
us,Consumer Discretionary,13,525.0,-0.1981972930987337,-0.07479659533287202,-0.21774259178062652,-0.1688793450758944,-0.14294599644775455,neutral,market_weight,-0.42418108630941487,0.4359869523994435,XLY,Consumer Discretionary Select Sector SPDR,direct,underweight,underweight,Direct sector ETF proxy available.
us,Industrials,20,1447.0,-0.23309200774695676,-0.2103942040253888,-0.17907273332197954,-0.31412091938442255,0.03132147070340924,neutral,market_weight,-0.42418108630941487,0.4359869523994435,XLI,Industrial Select Sector SPDR,direct,underweight,underweight,Direct sector ETF proxy available.
us,Technology,8,657.0,-0.615270164871873,-1.012734520563028,-0.722086814547014,-0.4550451903591615,0.29064770601601403,expensive,underweight,-0.42418108630941487,0.4359869523994435,XLK,Technology Select Sector SPDR,direct,underweight,high_conviction_underweight,Direct sector ETF proxy available.
us,Real Estate,4,106.0,-0.7978841420267886,-0.6259307689813278,-0.7816734376482859,-0.8222001985945429,-0.1557426686669581,expensive,underweight,-0.42418108630941487,0.4359869523994435,VNQ,Vanguard Real Estate ETF,direct,underweight,high_conviction_underweight,Direct sector ETF proxy available.
us,Health Care,5,1063.0,-0.9522591014157104,-0.6152096976560119,-1.11772189866254,-0.7040649055454664,-0.5025122010065283,expensive,underweight,-0.42418108630941487,0.4359869523994435,XLV,Health Care Select Sector SPDR,direct,underweight,high_conviction_underweight,Direct sector ETF proxy available.
